id,baseMean,baseMean1_M0,baseMean2_M2,FC_2over1,log2FC_2over1,pval,padj,X8533M0_S1,X8534M0_S4,X8535M0_S7,X8536M0_S10,X8533M2_S3,X8534M2_S6,X8535M2_S9,X8536M2_S12
Frmd6,764.2540357,453.0658851,1075.442186,2.373699326,1.247137202,2.58E-34,4.17E-32,432.1371222,420.0066328,472.4499641,487.6698213,1097.048692,974.5181117,1070.014361,1160.18758
Smg5,5805.880378,3830.773487,7780.98727,2.031179159,1.022317498,5.61E-34,8.97E-32,3758.53897,4152.815582,3713.324167,3698.415229,7519.874925,8144.260425,7680.595509,7779.218221
Mid1ip1,3578.783847,4800.447963,2357.11973,0.491020786,-1.026143998,5.03E-33,7.98E-31,4691.322758,4372.269047,5182.747702,4955.452346,2285.358003,2101.015866,2635.518327,2406.586726
Tmem26,441.8071347,10.56913821,873.0451312,82.60324671,6.368126583,1.86E-32,2.92E-30,13.70190875,9.450149237,16.09548976,3.029005101,1222.892282,870.8022747,742.7277715,655.7581972
Irak3,4849.877046,6519.540226,3180.213865,0.487797261,-1.035646438,2.94E-32,4.58E-30,6953.191695,7000.460552,5862.545446,6261.963213,3360.312019,3283.992541,3098.583254,2977.967645
Ncapg2,854.7828496,1185.877123,523.6885764,0.441604418,-1.17917349,3.71E-32,5.73E-30,1109.854609,1207.519069,1156.981676,1269.153137,565.8158318,469.28849,564.3920447,495.2579391
Dennd1a,1091.228244,594.1478665,1588.308622,2.673254777,1.418597341,3.84E-32,5.88E-30,531.2124624,678.3107119,594.5863276,572.4819641,1532.217745,1528.011539,1831.994285,1461.01092
Mtmr7,704.6539909,377.0534367,1032.254545,2.737687671,1.452957866,4.26E-32,6.46E-30,343.6017118,350.7055384,469.6095836,344.2969132,1005.788074,950.8996538,1175.394563,996.9358885
Nfil3,2490.308948,1259.527698,3721.090197,2.954353606,1.562842512,6.48E-32,9.75E-30,1216.3079,1093.067262,1222.310428,1506.425204,4207.59481,3377.439483,3381.285912,3918.040585
Sgms2,2195.528112,3115.15922,1275.897005,0.409576819,-1.287794029,1.43E-31,2.13E-29,3326.401848,3390.503543,3044.887945,2698.843545,1312.231623,1385.273902,1232.137749,1173.944745
Tcfec,5699.238451,3312.720193,8085.75671,2.440820908,1.287366443,1.47E-31,2.18E-29,3238.92043,3116.449215,3307.149749,3588.361377,9119.337336,7710.913067,7185.105904,8327.670532
Rrp8,1421.389236,911.9872502,1930.791222,2.117125235,1.082106612,1.91E-31,2.81E-29,951.7556617,907.2143268,929.751232,859.2277804,2026.946358,1963.412676,1817.808489,1914.997365
Klf4,507.5676073,293.4205468,721.7146679,2.459659611,1.298458677,2.57E-31,3.73E-29,240.3103996,364.3557539,280.2508805,288.765153,679.1711257,766.0595483,772.1126356,669.5153621
Fam20c,34771.74835,23697.01236,45846.48434,1.934694705,0.952105927,3.01E-31,4.35E-29,21304.36012,23688.37409,24942.32837,24852.98686,41426.55675,45897.85197,48065.53147,47995.99717
Il7r,5823.550877,3931.175218,7715.926536,1.962753148,0.972878739,6.23E-31,8.92E-29,3400.181356,4364.918931,3932.033469,4027.567116,7274.912214,7916.290962,7660.330085,8012.172882
Blnk,5502.662962,3715.630987,7289.694936,1.961899597,0.972251212,1.18E-30,1.67E-28,3409.667293,4067.764238,3643.261447,3741.830968,6972.311217,8141.179757,7087.831871,6957.4569
Htt,6993.819462,4738.381993,9249.256931,1.951986342,0.964942958,1.23E-30,1.74E-28,4253.915671,5005.429046,4859.891114,4834.292142,8883.020367,9267.677511,9840.889655,9005.440193
Cpox,706.996368,419.1302655,994.8624705,2.373635484,1.247098399,1.28E-30,1.79E-28,428.9751432,395.8562514,402.387244,449.3024233,1016.355093,857.4527115,1004.151735,1101.490342
Clint1,6677.323852,4541.219933,8813.42777,1.940762152,0.956623321,2.16E-30,2.99E-28,4434.14847,4482.520788,4277.613102,4970.597371,8665.91616,8305.482073,9067.763748,9214.5491
Fabp7,2145.300771,2867.319618,1423.281923,0.496380632,-1.010481271,3.35E-30,4.61E-28,2775.163519,2568.340559,3084.653273,3041.121122,1416.941175,1520.823312,1365.889544,1389.473663
Rnf149,22091.61932,28995.82111,15187.41753,0.523779529,-0.932968419,5.51E-30,7.52E-28,28199.5822,28888.0562,28329.95556,30565.69048,15902.40285,15064.4686,14427.96827,15354.8304
Slamf1,36.71833015,2.01451701,71.42214329,35.45373057,5.147865536,9.16E-30,1.24E-27,2.107985962,2.100033164,2.840380546,1.009668367,86.4574276,78.04360009,49.65028759,71.53725787
5830432E09Rik,816.9847845,511.8057329,1122.163836,2.192558161,1.132615113,1.63E-29,2.20E-27,551.238329,554.4087553,508.4281177,433.1477295,1171.017825,1140.874207,1077.107259,1099.656054
Thbd,136.9996609,217.5952865,56.40403542,0.259215337,-1.947777017,2.01E-29,2.69E-27,233.9864418,229.9536314,204.5073993,201.9336734,74.92977059,42.10246847,61.80954169,46.77436092
Ptgs1,14351.71778,9290.390927,19413.04464,2.089583183,1.063215191,2.27E-29,3.01E-27,8839.83913,8067.277399,9875.056364,10379.39081,18901.51495,17504.35799,20268.46332,20977.8423
Fam46a,5030.513623,3187.485981,6873.541265,2.156414587,1.108634574,3.32E-29,4.37E-27,3373.831532,3119.599265,3290.107465,2966.405662,7825.357836,6324.612276,6638.952741,6705.242209
Creg2,706.9514669,972.8458836,441.0570502,0.453367854,-1.141245995,1.58E-28,2.06E-26,964.4035775,936.6147911,1014.015855,976.349311,431.3264999,456.9658163,435.7066054,440.2292792
Sephs2,4868.649557,6388.577654,3348.72146,0.524173242,-0.931884387,4.05E-28,5.24E-26,6883.628158,6518.502941,6251.677581,5900.501937,3538.990703,3443.160409,3152.286626,3260.448099
Dock8,6189.539096,8094.621447,4284.456746,0.52929674,-0.917851326,4.25E-28,5.46E-26,8199.011398,7666.171065,8283.496465,8229.80686,4213.358639,4038.756305,4876.874167,4008.837874
